advertiser_id,product_id,views
2WPF1NXECF3G6NUMWDO7,ee96fh,55
2WPF1NXECF3G6NUMWDO7,ipdbkq,55
2WPF1NXECF3G6NUMWDO7,awsnit,53
2WPF1NXECF3G6NUMWDO7,jfakjo,53
2WPF1NXECF3G6NUMWDO7,9xqcyx,52
2WPF1NXECF3G6NUMWDO7,eiohv0,52
2WPF1NXECF3G6NUMWDO7,sc8wyj,52
2WPF1NXECF3G6NUMWDO7,8s5t5t,51
2WPF1NXECF3G6NUMWDO7,9cgdv8,50
2WPF1NXECF3G6NUMWDO7,athjhi,50
2WPF1NXECF3G6NUMWDO7,qr6buu,50
2WPF1NXECF3G6NUMWDO7,csdo4h,49
2WPF1NXECF3G6NUMWDO7,cd6nzg,48
2WPF1NXECF3G6NUMWDO7,jdd2jx,48
2WPF1NXECF3G6NUMWDO7,nrh896,48
2WPF1NXECF3G6NUMWDO7,xb476y,48
2WPF1NXECF3G6NUMWDO7,xp48rq,48
2WPF1NXECF3G6NUMWDO7,7sizf8,47
2WPF1NXECF3G6NUMWDO7,cwaimx,47
2WPF1NXECF3G6NUMWDO7,hc9qdl,47
5E325T5HYL61QSABVR5V,uq90rn,57
5E325T5HYL61QSABVR5V,pqv6p0,56
5E325T5HYL61QSABVR5V,nw44sh,50
5E325T5HYL61QSABVR5V,ykwze8,50
5E325T5HYL61QSABVR5V,a74for,49
5E325T5HYL61QSABVR5V,3o4i7z,48
5E325T5HYL61QSABVR5V,3vt5di,48
5E325T5HYL61QSABVR5V,4bxb6f,48
5E325T5HYL61QSABVR5V,iz738g,48
5E325T5HYL61QSABVR5V,o568oa,48
5E325T5HYL61QSABVR5V,9trbal,47
5E325T5HYL61QSABVR5V,irymbc,47
5E325T5HYL61QSABVR5V,pkiww1,47
5E325T5HYL61QSABVR5V,s9x9yb,47
5E325T5HYL61QSABVR5V,fm01zu,46
5E325T5HYL61QSABVR5V,htd40c,46
5E325T5HYL61QSABVR5V,lclaty,46
5E325T5HYL61QSABVR5V,nkbcq8,46
5E325T5HYL61QSABVR5V,ntsah2,46
5E325T5HYL61QSABVR5V,tnmcau,46
62FIK8F2YT8JSFDBLEC9,y83czh,60
62FIK8F2YT8JSFDBLEC9,i0459f,53
62FIK8F2YT8JSFDBLEC9,y3bop0,53
62FIK8F2YT8JSFDBLEC9,fv7455,50
62FIK8F2YT8JSFDBLEC9,jn3jwp,50
62FIK8F2YT8JSFDBLEC9,dssy07,49
62FIK8F2YT8JSFDBLEC9,gvc1ak,49
62FIK8F2YT8JSFDBLEC9,owih8y,49
62FIK8F2YT8JSFDBLEC9,lyob8z,48
62FIK8F2YT8JSFDBLEC9,spv9n5,48
62FIK8F2YT8JSFDBLEC9,ektrp8,47
62FIK8F2YT8JSFDBLEC9,j886n4,47
62FIK8F2YT8JSFDBLEC9,kvoa81,47
62FIK8F2YT8JSFDBLEC9,pl0ble,46
62FIK8F2YT8JSFDBLEC9,wkgv0x,46
62FIK8F2YT8JSFDBLEC9,yusr3p,46
62FIK8F2YT8JSFDBLEC9,a9fx8r,45
62FIK8F2YT8JSFDBLEC9,aee2vx,45
62FIK8F2YT8JSFDBLEC9,e4pu9j,45
62FIK8F2YT8JSFDBLEC9,go26yw,45
6X20RDH567MX2X3TXYJ7,wp4q03,60
6X20RDH567MX2X3TXYJ7,j6rdgr,55
6X20RDH567MX2X3TXYJ7,rlkxot,55
6X20RDH567MX2X3TXYJ7,g39i0s,54
6X20RDH567MX2X3TXYJ7,js0ydl,54
6X20RDH567MX2X3TXYJ7,g19nve,52
6X20RDH567MX2X3TXYJ7,hwm12w,52
6X20RDH567MX2X3TXYJ7,0nbh5x,51
6X20RDH567MX2X3TXYJ7,14829e,51
6X20RDH567MX2X3TXYJ7,3k4wti,51
6X20RDH567MX2X3TXYJ7,or5lid,51
6X20RDH567MX2X3TXYJ7,rbtmui,51
6X20RDH567MX2X3TXYJ7,nc9x7k,50
6X20RDH567MX2X3TXYJ7,0nw219,48
6X20RDH567MX2X3TXYJ7,1z4ugy,48
6X20RDH567MX2X3TXYJ7,d7rgfp,48
6X20RDH567MX2X3TXYJ7,ed41q1,48
6X20RDH567MX2X3TXYJ7,sav90m,47
6X20RDH567MX2X3TXYJ7,n7vqaj,46
6X20RDH567MX2X3TXYJ7,oediqm,46
8C88YB6E8YCGWU07HA7A,51qf7s,54
8C88YB6E8YCGWU07HA7A,63sjhs,53
8C88YB6E8YCGWU07HA7A,c8px87,53
8C88YB6E8YCGWU07HA7A,qruls0,52
8C88YB6E8YCGWU07HA7A,bvztih,49
8C88YB6E8YCGWU07HA7A,hskcnp,49
8C88YB6E8YCGWU07HA7A,w1nexa,49
8C88YB6E8YCGWU07HA7A,w2c5hd,49
8C88YB6E8YCGWU07HA7A,aevtqx,48
8C88YB6E8YCGWU07HA7A,co4zwc,48
8C88YB6E8YCGWU07HA7A,m80sug,48
8C88YB6E8YCGWU07HA7A,ro1cyv,48
8C88YB6E8YCGWU07HA7A,ggtib3,47
8C88YB6E8YCGWU07HA7A,onssnt,47
8C88YB6E8YCGWU07HA7A,2gv5kk,46
8C88YB6E8YCGWU07HA7A,jsug33,46
8C88YB6E8YCGWU07HA7A,zkd709,46
8C88YB6E8YCGWU07HA7A,4zv71d,45
8C88YB6E8YCGWU07HA7A,bnb7hm,45
8C88YB6E8YCGWU07HA7A,ev3qpo,45
AK81O7W3KGPEN8LABG2N,bj76oq,53
AK81O7W3KGPEN8LABG2N,1g1kgt,52
AK81O7W3KGPEN8LABG2N,0khlye,51
AK81O7W3KGPEN8LABG2N,ncap6e,51
AK81O7W3KGPEN8LABG2N,3chn8i,50
AK81O7W3KGPEN8LABG2N,jo72g4,50
AK81O7W3KGPEN8LABG2N,sjcspu,50
AK81O7W3KGPEN8LABG2N,cp2pml,49
AK81O7W3KGPEN8LABG2N,ktbn1j,49
AK81O7W3KGPEN8LABG2N,6x3k6b,48
AK81O7W3KGPEN8LABG2N,e0rj56,48
AK81O7W3KGPEN8LABG2N,hmfxqy,48
AK81O7W3KGPEN8LABG2N,ltdb84,48
AK81O7W3KGPEN8LABG2N,rngaov,48
AK81O7W3KGPEN8LABG2N,secrcs,48
AK81O7W3KGPEN8LABG2N,m5u0xo,47
AK81O7W3KGPEN8LABG2N,qbpye9,47
AK81O7W3KGPEN8LABG2N,wcq4h6,47
AK81O7W3KGPEN8LABG2N,0hk4un,46
AK81O7W3KGPEN8LABG2N,rb6jmk,46
EN1SA43DTN2LIR8DEW5S,eytwg3,53
EN1SA43DTN2LIR8DEW5S,ctyu0r,52
EN1SA43DTN2LIR8DEW5S,6021z5,51
EN1SA43DTN2LIR8DEW5S,ixbuqq,51
EN1SA43DTN2LIR8DEW5S,xdz4zv,51
EN1SA43DTN2LIR8DEW5S,rv7474,50
EN1SA43DTN2LIR8DEW5S,5ek4a4,48
EN1SA43DTN2LIR8DEW5S,tbgi7k,48
EN1SA43DTN2LIR8DEW5S,3lu35j,47
EN1SA43DTN2LIR8DEW5S,ozsb5j,47
EN1SA43DTN2LIR8DEW5S,ttsih0,47
EN1SA43DTN2LIR8DEW5S,452w3x,46
EN1SA43DTN2LIR8DEW5S,ftijyu,46
EN1SA43DTN2LIR8DEW5S,iq8rjx,46
EN1SA43DTN2LIR8DEW5S,z44xzj,46
EN1SA43DTN2LIR8DEW5S,05p8w3,45
EN1SA43DTN2LIR8DEW5S,mb79qt,45
EN1SA43DTN2LIR8DEW5S,wj217g,45
EN1SA43DTN2LIR8DEW5S,wl2x12,45
EN1SA43DTN2LIR8DEW5S,0kwo2k,44
GXLKAA83238FVRU718EX,f3wol2,56
GXLKAA83238FVRU718EX,in90an,54
GXLKAA83238FVRU718EX,h5392m,53
GXLKAA83238FVRU718EX,z6trl6,52
GXLKAA83238FVRU718EX,nm4pyj,51
GXLKAA83238FVRU718EX,0ftfvq,50
GXLKAA83238FVRU718EX,6ejrk7,50
GXLKAA83238FVRU718EX,dhqv4k,50
GXLKAA83238FVRU718EX,onr5ow,50
GXLKAA83238FVRU718EX,dpqkvw,49
GXLKAA83238FVRU718EX,hxqab8,49
GXLKAA83238FVRU718EX,ne30bo,49
GXLKAA83238FVRU718EX,6arj5u,48
GXLKAA83238FVRU718EX,94ev02,48
GXLKAA83238FVRU718EX,kfyqwm,48
GXLKAA83238FVRU718EX,u1ipbf,48
GXLKAA83238FVRU718EX,e8mnq1,47
GXLKAA83238FVRU718EX,lhzelm,47
GXLKAA83238FVRU718EX,sbumxv,47
GXLKAA83238FVRU718EX,u8lvng,47
IDOFCO721HTJGDH7332G,cy3byk,53
IDOFCO721HTJGDH7332G,fmjzux,53
IDOFCO721HTJGDH7332G,ky85kp,53
IDOFCO721HTJGDH7332G,wgmyt8,51
IDOFCO721HTJGDH7332G,d1fws1,50
IDOFCO721HTJGDH7332G,jcr5hr,50
IDOFCO721HTJGDH7332G,gnglwo,49
IDOFCO721HTJGDH7332G,gza1gh,49
IDOFCO721HTJGDH7332G,3h779a,48
IDOFCO721HTJGDH7332G,kd2dba,48
IDOFCO721HTJGDH7332G,kux6c4,48
IDOFCO721HTJGDH7332G,at44cp,47
IDOFCO721HTJGDH7332G,gq5s4n,47
IDOFCO721HTJGDH7332G,klklhr,47
IDOFCO721HTJGDH7332G,r7p0od,47
IDOFCO721HTJGDH7332G,wyigr5,47
IDOFCO721HTJGDH7332G,3brj11,46
IDOFCO721HTJGDH7332G,nhirnc,46
IDOFCO721HTJGDH7332G,uz6mwe,46
IDOFCO721HTJGDH7332G,015ly6,45
IOBPI63RBJIHI5FB7U9O,104jo8,53
IOBPI63RBJIHI5FB7U9O,dle4nm,49
IOBPI63RBJIHI5FB7U9O,xudqin,49
IOBPI63RBJIHI5FB7U9O,ykva4i,49
IOBPI63RBJIHI5FB7U9O,5qxutt,48
IOBPI63RBJIHI5FB7U9O,7aqxgy,48
IOBPI63RBJIHI5FB7U9O,c7tfns,48
IOBPI63RBJIHI5FB7U9O,fuc81m,47
IOBPI63RBJIHI5FB7U9O,hgpq4t,47
IOBPI63RBJIHI5FB7U9O,kc9g46,47
IOBPI63RBJIHI5FB7U9O,mx2p3y,47
IOBPI63RBJIHI5FB7U9O,3ijw3i,46
IOBPI63RBJIHI5FB7U9O,ht66k9,46
IOBPI63RBJIHI5FB7U9O,kl6n8e,46
IOBPI63RBJIHI5FB7U9O,s6qnd2,46
IOBPI63RBJIHI5FB7U9O,ye0r9p,46
IOBPI63RBJIHI5FB7U9O,1vhym6,45
IOBPI63RBJIHI5FB7U9O,513q6i,45
IOBPI63RBJIHI5FB7U9O,anomem,45
IOBPI63RBJIHI5FB7U9O,lq50zx,45
K6Z0X85ZUY0TSF4RCG5J,jfd6tl,58
K6Z0X85ZUY0TSF4RCG5J,cvcx0y,52
K6Z0X85ZUY0TSF4RCG5J,fm4ipk,50
K6Z0X85ZUY0TSF4RCG5J,2j55x2,49
K6Z0X85ZUY0TSF4RCG5J,c0scz0,49
K6Z0X85ZUY0TSF4RCG5J,b7n1ne,48
K6Z0X85ZUY0TSF4RCG5J,wobqw9,48
K6Z0X85ZUY0TSF4RCG5J,yoxfpd,48
K6Z0X85ZUY0TSF4RCG5J,1ohcvj,47
K6Z0X85ZUY0TSF4RCG5J,649tyl,47
K6Z0X85ZUY0TSF4RCG5J,7ng79e,47
K6Z0X85ZUY0TSF4RCG5J,9ama9i,47
K6Z0X85ZUY0TSF4RCG5J,lf4p0d,47
K6Z0X85ZUY0TSF4RCG5J,rgd32p,47
K6Z0X85ZUY0TSF4RCG5J,5x4gnl,46
K6Z0X85ZUY0TSF4RCG5J,hg40s4,46
K6Z0X85ZUY0TSF4RCG5J,f276t0,45
K6Z0X85ZUY0TSF4RCG5J,rhk3gu,45
K6Z0X85ZUY0TSF4RCG5J,xpqesp,45
K6Z0X85ZUY0TSF4RCG5J,4oirq4,44
KD9PHCBGYFBRI9ET1O9R,gmgbcn,54
KD9PHCBGYFBRI9ET1O9R,lji8mk,53
KD9PHCBGYFBRI9ET1O9R,muv6or,52
KD9PHCBGYFBRI9ET1O9R,f0mew6,51
KD9PHCBGYFBRI9ET1O9R,igp6ou,51
KD9PHCBGYFBRI9ET1O9R,meu1cm,51
KD9PHCBGYFBRI9ET1O9R,24ymyp,49
KD9PHCBGYFBRI9ET1O9R,359paa,49
KD9PHCBGYFBRI9ET1O9R,4i31iw,49
KD9PHCBGYFBRI9ET1O9R,58nqjt,48
KD9PHCBGYFBRI9ET1O9R,gszz93,48
KD9PHCBGYFBRI9ET1O9R,mq92kf,48
KD9PHCBGYFBRI9ET1O9R,0n7w6c,45
KD9PHCBGYFBRI9ET1O9R,3xrxgz,45
KD9PHCBGYFBRI9ET1O9R,60mskh,45
KD9PHCBGYFBRI9ET1O9R,41ljsb,44
KD9PHCBGYFBRI9ET1O9R,5f1f89,44
KD9PHCBGYFBRI9ET1O9R,hjdm9t,44
KD9PHCBGYFBRI9ET1O9R,jpt7zm,44
KD9PHCBGYFBRI9ET1O9R,jtopgr,44
LTRZRCI4M19WYVL6Q6L5,xk6z5w,53
LTRZRCI4M19WYVL6Q6L5,2zj9pv,51
LTRZRCI4M19WYVL6Q6L5,zqcci3,51
LTRZRCI4M19WYVL6Q6L5,buze8b,50
LTRZRCI4M19WYVL6Q6L5,c0rddk,50
LTRZRCI4M19WYVL6Q6L5,dm25c3,50
LTRZRCI4M19WYVL6Q6L5,mw6jkg,50
LTRZRCI4M19WYVL6Q6L5,2988gl,49
LTRZRCI4M19WYVL6Q6L5,8nagzq,49
LTRZRCI4M19WYVL6Q6L5,9ax13p,49
LTRZRCI4M19WYVL6Q6L5,z9594q,49
LTRZRCI4M19WYVL6Q6L5,4i16gh,48
LTRZRCI4M19WYVL6Q6L5,fpor4l,48
LTRZRCI4M19WYVL6Q6L5,fu5ykn,48
LTRZRCI4M19WYVL6Q6L5,nzjq28,48
LTRZRCI4M19WYVL6Q6L5,v26dhi,48
LTRZRCI4M19WYVL6Q6L5,gbruby,47
LTRZRCI4M19WYVL6Q6L5,s9qhny,47
LTRZRCI4M19WYVL6Q6L5,8x7ecu,46
LTRZRCI4M19WYVL6Q6L5,igm1fp,46
LW045DVYSGRD75TK6U54,i9pweb,56
LW045DVYSGRD75TK6U54,pqxsvo,55
